Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Forma de producto de mampostería (product.metafields.shopify.masonry-product-form),Adecuado para tipo de material (product.metafields.shopify.suitable-for-material-type),Espacio adecuado (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cemento-loma-negra-x-50kg,CEMENTO LOMA NEGRA X 50KG,"<p>Cemento Loma Negra por 50 kg, de alta calidad y rendimiento superior. Ideal para hormigones, revoques y contrapisos. Garantiza excelente resistencia, adherencia y terminación. Producto confiable para todo tipo de construcción, desde bases hasta terminaciones finas.</p>",Servicios Arneaz,Uncategorized,"","CEMENTO, CEMENTO DE ALBANILERIA",true,Cantidad,x1,,,,,,,,,5000000.0,shopify,49,deny,manual,10000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0765/4535/9929/files/cementoporland_550129be-017c-4517-bf68-b81e15e63596.jpg?v=1765233168,1,"",false,,,,,,,,kg,,,active
cal-santa-elena-x-25kg,CAL SANTA ELENA X 25KG,"<p>Cal Santa Elena por 25 kg, ideal para revoques, mampostería y pintura a la cal. Aporta plasticidad y adherencia a las mezclas, mejorando el acabado y la durabilidad. Producto de alta pureza y finura, fácil de aplicar y apto para todo tipo de obra.</p>",Servicios Arneaz,,"","CAL, CEMENTO",true,Cantidad,x1,,,,,,,,,2500000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
cal-santa-elena-x-25kg,,,,,,,,,x40,,,,,,,,,2500000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
cemento-de-albanileria-plasticor-x-40kg,CEMENTO DE ALBAÑILERIA PLASTICOR X 40KG,"",PLASTICOR,,"","CAL, CEMENTO, CEMENTO DE ALBANILERIA",true,Cantidad,x1,,,,,,,,,4000000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
cemento-de-albanileria-plasticor-x-40kg,,,,,,,,,x40,,,,,,,,,4000000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
cal-milagro-x-25kg,CAL MILAGRO X 25KG,"",Servicios Arneaz,,"","CAL, CEMENTO",true,Cantidad,x1,,,,,,,,,2500000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
cal-milagro-x-25kg,,,,,,,,,x40,,,,,,,,,2500000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,,,,,,,,,kg,,,
lote-en-barrio-privado-los-carpinchos,LOTE EN BARRIO PRIVADO LOS CARPINCHOS,"",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
lote-en-barrio-privado-el-molino-de-santa-lucia,LOTE EN BARRIO PRIVADO EL MOLINO DE SANTA LUCIA,"<p>ULTIMOS LOTES A VALOR DE PRE VENTA 100% FINANCIADOS?</p>
<p>?FINANCIACION UNICA EN EL MERCADO!</p>
<p> ?""El Molino de Santa Lucia""?: Es un barrio que se encuentra a minutos de Corrientes Capital, acceso Sobre Ruta 5, Km.15, en pleno desarrollo, y cuenta con:</p>
<p>?-portico de acceso con seguridad 24hs</p>
<p>?-zonas de reservas</p>
<p>?-amenities( club house, pileta de natación, canchas de paddle, basquet, fútbol, parrillas, circuito de trekking y senderismo)</p>
<p>?-alumbrado publico</p>
<p>?- administración </p>
<p>?-lotes desde 1.000m2 en adelante .</p>
<p>?Los lotes son 100% financiados, lo adquiris abonando los gastos del boleto de compraventa y la primer cuota. La posesión es inmediata!</p>
<p>IMPORTANTES DESCUENTOS ABONANDO DE CONTADO Y CON ENTREGA ??</p>
<p>¿TE LO VAS A PERDER? Corroborá en las fotos y videos lo increible que es el barrio</p>",Servicios Arneaz,,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
adhesivo-para-ceramico-marca-weber-x-30kg,ADHESIVO PARA CERAMICO MARCA WEBER X 30KG,"",Servicios Arneaz,,"","CAL, CEMENTO, CEMENTO DE ALBANILERIA",true,Cantidad,x1,,,,,,,,,2500000.0,shopify,0,deny,manual,0.00,,true,false,,,,,,,,,false,,,,,,,,kg,,,active
